STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,16/04/2004,,3.13,1623,1623,0,,,,63,70,55,,0,260,270,,,,8.9,14.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,17/04/2004,,4.25,1632,1643,0.01,,,,59,63,54,,0,260,260,,,,14.1,21.9,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,18/04/2004,,3.36,1356,1626,0,,,,60,68,52,,0,260,220,,,,12.1,16.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,19/04/2004,,3.58,1523,1323,0,,,,61,69,53,,0,280,240,,,,10.1,16.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,20/04/2004,,3.13,1512,1856,0,,,,63,71,54,,0,260,270,,,,10.1,17,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,21/04/2004,,2.91,1157,1132,0,,,,65,72,57,,0,220,230,,,,8.9,15,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,22/04/2004,,4.03,1518,1621,0,,,,65,73,57,,0,260,270,,,,13,17.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,23/04/2004,,3.58,1630,1503,0,,,,74,90,57,,0,250,270,,,,14.1,23.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,24/04/2004,,2.24,1636,1636,0,,,,72,85,58,,0,270,280,,,,10.1,16.1,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,25/04/2004,,2.01,1516,1506,0,,,,75,92,58,,0,260,260,,,,12.1,15,,,,,,,,,,,,,,,
